movie_slug,role_name,original_actor,suggestions
the-dark-knight,Rachel,Maggie Gyllenhaal,Rachel McAdams; Rebecca Ferguson; Rosamund Pike; Jessica Chastain; Emilia Clarke; Margot Robbie; Ana de Armas
the-dark-knight,Gordon,Gary Oldman,Mark Strong; Brian Cox; David Morse; Paul Giamatti; Michael Shannon; Timothy Spall
the-dark-knight,Lucius Fox,Morgan Freeman,Denzel Washington; Idris Elba; James Earl Jones; Giancarlo Esposito
inception,Dom Cobb,Leonardo DiCaprio,Ryan Gosling; Jake Gyllenhaal; Pedro Pascal; Jude Law; Edward Norton; Matthew McConaughey; Benedict Cumberbatch; Mads Mikkelsen
inception,Arthur,Joseph Gordon-Levitt,Tom Holland; Barry Keoghan; Andrew Garfield; Jacob Elordi; Joe Keery; Finn Wolfhard; Jack O'Connell; Jesse Plemons
inception,Saito,Ken Watanabe,Tony Leung Chiu-wai; Ken Watanabe; Hiroyuki Sanada; Randall Park
inception,Eames,Tom Hardy,Tom Hardy; Jason Statham; Karl Urban; Dave Bautista
inception,Ariadne,Elliot Page,Zendaya; Madelyn Cline; Hailee Steinfeld; Anya Taylor-Joy; Zoe Saldaña; Emilia Clarke; Jenna Ortega
inception,Yusuf,Dileep Rao,Riz Ahmed; Dev Patel; Ahmed El Awadi; Ranveer Singh; Abhishek Bachchan
inception,"Robert Fischer, Jr.",Cillian Murphy,Cillian Murphy; Nicholas Hoult; Ansel Elgort; Harry Styles; Kit Harington
interstellar,Cooper,Matthew McConaughey,Ryan Gosling; Jake Gyllenhaal; Tom Hardy; Jude Law; Andrew Garfield; Hayden Christensen
interstellar,Brand,Anne Hathaway,Ana de Armas; Rebecca Ferguson; Charlize Theron; Rosamund Pike; Penélope Cruz; Rachel Weisz; Emilia Clarke; Zoe Saldaña
interstellar,Professor Brand,Michael Caine,
interstellar,Murph,Jessica Chastain,Jennifer Lawrence; Sadie Sink; Hailee Steinfeld; Anya Taylor-Joy; Madelyn Cline; Zendaya; Millie Bobby Brown; Elle Fanning
interstellar,Tom,Casey Affleck,Jack O'Connell; Nicholas Hoult; Shia LaBeouf; Jesse Plemons; Jacob Elordi; Deng Kai; Zhang Linghe; Chen Zheyuan
interstellar,Doyle,Wes Bentley,Jon Bernthal; Walton Goggins; Aidan Gillen; Josh Brolin; Stephen Graham; Mark Strong; Jeffrey Dean Morgan; Barry Keoghan
interstellar,Getty,Topher Grace,Finn Wolfhard; Tom Holland; Noah Fearnley; Tyriq Withers; Hudson Williams; Lin Muran; Suppakarn Jirachotikul; Wanpichit Nimitparkpoom
mad-max-fury-road,Max Rockatansky,Tom Hardy,Tom Hardy; Jake Gyllenhaal; Pedro Pascal; Joel Edgerton; Jon Bernthal; Scott Adkins; Jack O'Connell; Theo James
mad-max-fury-road,Imperator Furiosa,Charlize Theron,Charlize Theron; Zoe Saldaña; Rebecca Ferguson; Lena Headey; Rosamund Pike; Ana de Armas; Jessica Biel; Samara Weaving
mad-max-fury-road,Nux,Nicholas Hoult,Nicholas Hoult; Tom Holland; Jacob Elordi; Finn Wolfhard; Tyriq Withers; Noah Fearnley; Hudson Williams; Suppakarn Jirachotikul
mad-max-fury-road,Immortan Joe,Hugh Keays-Byrne,Javier Bardem; Ralph Fiennes; Ed Harris; Clint Eastwood; Liam Neeson; Mark Strong; Aidan Gillen; Jeffrey Dean Morgan
mad-max-fury-road,Slit,Josh Helman,Josh Brolin; Jesse Plemons; Walton Goggins; Shia LaBeouf; Barry Keoghan; Paul Anderson; Giulio Berruti
mad-max-fury-road,Rictus Erectus,Nathan Jones,Dave Bautista; Jason Momoa; Dwayne Johnson; Alan Ritchson; Vin Diesel; John Cena; Dolph Lundgren; Jean-Claude Van Damme
mad-max-fury-road,Toast the Knowing,Zoë Kravitz,Zoë Kravitz; Jenna Ortega; Madelyn Cline; Sadie Sink; Elle Fanning; Dafne Keen; Emma Myers; Margaret Qualley
jurassic-park,Grant,Sam Neill,Pedro Pascal; Jake Gyllenhaal; Matthew McConaughey; Edward Norton; Andrew Garfield; Jude Law; Jack O'Connell; Jesse Plemons
jurassic-park,Ellie,Laura Dern,Anne Hathaway; Rachel McAdams; Jennifer Connelly; Rebecca Ferguson; Amy Adams; Emilia Clarke; Rosamund Pike; Margaret Qualley
jurassic-park,Malcolm,Jeff Goldblum,Benedict Cumberbatch; Jim Carrey; Nicolas Cage; Javier Bardem; Mark Strong; Aidan Gillen; Jeremy Irons; Jon Bernthal
jurassic-park,Hammond,Richard Attenborough,Morgan Freeman; Harrison Ford; Kurt Russell; Sam Elliott; Ed Harris; Denzel Washington; Liam Neeson; Tom Hanks
jurassic-park,Muldoon,Bob Peck,Jason Statham; Vin Diesel; Dave Bautista; Dolph Lundgren; Walton Goggins; Mads Mikkelsen; Scott Adkins; Michael Shannon
jurassic-park,Gennaro,Martin Ferrero,Javier Bardem; Tony Leung Chiu-wai; Theo James; Michele Morrone; Jacob Elordi; Ranveer Singh; Hrithik Roshan; Akshay Kumar
jurassic-park,Wu,BD Wong,Tony Leung Chiu-wai; Deng Kai; Chen Zheyuan; Song Weilong; Zhang Linghe; Ji Chang-wook; He Yu
gladiator,Maximus,Russell Crowe,Hugh Jackman; Jake Gyllenhaal; Tom Hardy; Pedro Pascal; Aaron Paul; Michael Fassbender; Luke Evans
gladiator,Commodus,Joaquin Phoenix,Cillian Murphy; Barry Keoghan; Edward Norton; Jude Law; Michael Fassbender; Aidan Gillen; Jack O'Connell
gladiator,Lucilla,Connie Nielsen,Charlize Theron; Rebecca Ferguson; Rosamund Pike; Kate Winslet; Rachel Weisz; Penélope Cruz; Keira Knightley; Michelle Pfeiffer
gladiator,Proximo,Oliver Reed,Morgan Freeman; Tom Hanks; Michael Fassbender; Brad Pitt; Liam Neeson; Kurt Russell; Denzel Washington
gladiator,Marcus Aurelius,Richard Harris,Morgan Freeman; Liam Neeson; Ed Harris; Sam Elliott; Richard Gere; Harrison Ford; Al Pacino; Michael Caine
gladiator,Gracchus,Derek Jacobi,Ralph Fiennes; Mark Strong; Jude Law; Cillian Murphy; Aidan Gillen; Stephen Graham
gladiator,Juba,Djimon Hounsou,Idris Elba; Dwayne Johnson; Denzel Washington; Jason Momoa; Prabhas; Mahershala Ali
the-godfather,Don Vito Corleone,Marlon Brando,Morgan Freeman; Tom Hanks; Liam Neeson; Sam Elliott; Ed Harris; Richard Gere; Harrison Ford; Denzel Washington
the-godfather,Michael Corleone,Al Pacino,Cillian Murphy; Jake Gyllenhaal; Jon Bernthal; Andrew Garfield; Tobey Maguire; Jude Law
the-godfather,Sonny Corleone,James Caan,Jason Momoa; Vin Diesel; Idris Elba; Chris Hemsworth; Dave Bautista; Dwayne Johnson; Javier Bardem; Mads Mikkelsen
the-godfather,Tom Hagen,Robert Duvall,Ralph Fiennes; Mark Strong; Benedict Cumberbatch; Josh Brolin; Edward Norton; Adrien Brody; Eric Dane; Tony Leung Chiu-wai
the-godfather,Clemenza,Richard S. Castellano,Sylvester Stallone; Steven Seagal; Jean-Claude Van Damme; Clint Eastwood; Mel Gibson; Kurt Russell; Bruce Willis; Arnold Schwarzenegger
the-godfather,Kay Adams,Diane Keaton,Rachel McAdams; Anne Hathaway; Keira Knightley; Rachel Weisz; Diane Lane; Jennifer Connelly; Rebecca Ferguson
the-godfather,Connie Corleone Rizzi,Talia Shire,Margaret Qualley; Anya Taylor-Joy; Elle Fanning; Dakota Fanning; Hailee Steinfeld; Samara Weaving; Madelyn Cline; Lily James
the-godfather-ii,Don Michael Corleone,Al Pacino,Leonardo DiCaprio; Jake Gyllenhaal; Tom Hardy; Cillian Murphy; Andrew Garfield
the-godfather-ii,Tom Hagen,Robert Duvall,Tom Hanks; Matt Damon; Edward Norton; Michael Shannon; John Turturro; Philip Seymour Hoffman
the-godfather-ii,Kay Corleone,Diane Keaton,Margot Robbie; Uma Thurman; Keira Knightley; Rachel McAdams; Kate Hudson; Charlize Theron; Rebecca Ferguson; Lupita Nyong'o
the-godfather-ii,Vito Corleone,Robert De Niro,Liam Neeson; Jack Nicholson; Tommy Lee Jones; Morgan Freeman; Denzel Washington; John Lithgow
the-godfather-ii,Frederico 'Fredo' Corleone,John Cazale,Barry Keoghan; Jacob Elordi; Ansel Elgort; Tom Holland; Dev Patel
the-godfather-ii,Constanzia 'Connie' Corleone,Talia Shire,Penélope Cruz; Scarlett Johansson; Emilia Clarke; Rosamund Pike; Rebecca Ferguson
the-godfather-ii,Hyman Roth,Lee Strasberg,Richard Gere; Al Pacino; Tom Cruise; Sylvester Stallone; Ed Harris; Kevin Bacon; J.K. Simmons; Michael Keaton
goodfellas,James Conway,Robert De Niro,Al Pacino; Jon Bernthal; Jack O'Connell; Javier Bardem; Mads Mikkelsen
goodfellas,Henry Hill,Ray Liotta,Jake Gyllenhaal; Leonardo DiCaprio; Andrew Garfield; Jack O'Connell; Michael Fassbender; Ryan Gosling; Tobey Maguire; Jesse Plemons
goodfellas,Tommy DeVito,Joe Pesci,Barry Keoghan; Edward Norton; Walton Goggins; Shia LaBeouf; Elijah Wood; Alexander Skarsgård
goodfellas,Karen Hill,Lorraine Bracco,Ana de Armas; Anya Taylor-Joy; Rebecca Ferguson; Penélope Cruz; Scarlett Johansson; Rosamund Pike; Rachel McAdams; Emma Stone
goodfellas,Paul Cicero,Paul Sorvino,Al Pacino; Sylvester Stallone; Liam Neeson; Tom Hanks; Sam Elliott; Ed Harris; Morgan Freeman; Clint Eastwood
goodfellas,Frankie Carbone,Frank Sivero,Jack O'Connell; Barry Keoghan; Jesse Plemons; Joseph Gordon-Levitt; Michael Shannon; Jon Bernthal; Joel Edgerton
goodfellas,Sonny Bunz,Tony Darrow,Jack O'Connell; Walton Goggins; Barry Keoghan; Finn Wolfhard; Tyriq Withers; Dylan Wang; Hudson Williams
pulp-fiction,Vincent Vega,John Travolta,Ryan Gosling; Jake Gyllenhaal; Jude Law; Tom Hardy; Pedro Pascal; Jon Bernthal; Jack O'Connell; Jesse Plemons
pulp-fiction,Jules Winnfield,Samuel L. Jackson,Denzel Washington; Idris Elba; Sterling K. Brown; Mahershala Ali; Giancarlo Esposito; David Oyelowo
pulp-fiction,Mia Wallace,Uma Thurman,Scarlett Johansson; Penélope Cruz; Ana de Armas; Rebecca Ferguson; Rachel McAdams; Margot Robbie; Charlize Theron; Rosamund Pike
pulp-fiction,Butch Coolidge,Bruce Willis,Tom Hardy; Chris Evans; Ben Affleck; Josh Brolin; Riz Ahmed
pulp-fiction,Marsellus Wallace,Ving Rhames,Vin Diesel; Dwayne Johnson; Idris Elba; Jason Momoa; Dave Bautista; Giancarlo Esposito; Don Cheadle
pulp-fiction,The Wolf,Harvey Keitel,Tom Cruise; Jude Law; Mark Strong; Ralph Fiennes; Mads Mikkelsen; Christoph Waltz
pulp-fiction,Lance,Eric Stoltz,Barry Keoghan; Jacob Elordi; Tom Holland; Andrew Garfield; Dev Patel
schindlers-list,Oskar Schindler,Liam Neeson,Liam Neeson; Tom Hanks; Ralph Fiennes; Jude Law; Edward Norton; Jake Gyllenhaal; Pedro Pascal; Jon Bernthal
schindlers-list,Itzhak Stern,Ben Kingsley,Adrien Brody; Benedict Cumberbatch; Tony Leung Chiu-wai; Mark Strong; Stephen Graham; Aidan Gillen; Walton Goggins; Jack O'Connell
schindlers-list,Amon Goeth,Ralph Fiennes,Ralph Fiennes; Tom Hardy; Cillian Murphy; Michael Shannon; Mads Mikkelsen; Jack O'Connell; Barry Keoghan; Edward Norton
schindlers-list,Emilie Schindler,Caroline Goodall,Kate Winslet; Rachel Weisz; Rosamund Pike; Rebecca Ferguson; Jennifer Connelly; Charlize Theron; Diane Lane; Rachel McAdams
schindlers-list,Poldek Pfefferberg,Jonathan Sagall,Jesse Plemons; Theo James; Jacob Elordi; Michele Morrone; Song Weilong; Chen Zheyuan; Edward Chen; Deng Kai
schindlers-list,Helen Hirsch,Embeth Davidtz,Anya Taylor-Joy; Elle Fanning; Hailee Steinfeld; Madelyn Cline; Emilia Clarke; Zendaya; Elle Chapman; Minami Hamabe
schindlers-list,Viktoria Klonowska,Małgorzata Gebel,Ana de Armas; Penélope Cruz; Eiza González; Margot Robbie; Samara Weaving; Emilia Clarke; Anya Taylor-Joy; Margaret Qualley
shawshank-redemption,Andy Dufresne,Tim Robbins,Ryan Gosling; Jake Gyllenhaal; Andrew Garfield; Tom Hardy; Benedict Cumberbatch; Edward Norton; Jude Law; Cillian Murphy
shawshank-redemption,Ellis Boyd 'Red' Redding,Morgan Freeman,Denzel Washington; Idris Elba; Liam Neeson; Mahershala Ali; Giancarlo Esposito; Lance Reddick
shawshank-redemption,Warden Norton,Bob Gunton,Ed Harris; Mark Strong; Walton Goggins; Aidan Gillen; Ralph Fiennes; Mads Mikkelsen; Javier Bardem; Josh Brolin
shawshank-redemption,Heywood,William Sadler,Jon Bernthal; Jesse Plemons; Jack O'Connell; Barry Keoghan; Shia LaBeouf; Riz Ahmed; Michael Shannon
shawshank-redemption,Captain Byron T. Hadley,Clancy Brown,Jason Statham; Alan Ritchson; Vin Diesel; Dave Bautista; Dolph Lundgren; Scott Adkins; Jean-Claude Van Damme
shawshank-redemption,Tommy,Gil Bellows,Tom Holland; Jacob Elordi; Barry Keoghan; Nicholas Hoult; Ansel Elgort
shawshank-redemption,Brooks Hatlen,James Whitmore,Kurt Russell; Harrison Ford; Clint Eastwood; Sam Elliott; Richard Gere; Tom Wilkinson
silence-of-the-lambs,Clarice Starling,Jodie Foster,Scarlett Johansson; Emma Stone; Anya Taylor-Joy; Rebecca Ferguson; Hailee Steinfeld; Rachel McAdams; Claire Danes; Keira Knightley
silence-of-the-lambs,Dr. Hannibal Lecter,Anthony Hopkins,Javier Bardem; Ralph Fiennes; Mads Mikkelsen; Benedict Cumberbatch; Mark Strong; Cillian Murphy; Tom Hardy; Jon Bernthal
silence-of-the-lambs,Jack Crawford,Scott Glenn,Denzel Washington; Morgan Freeman; Keanu Reeves; Liam Neeson; Ed Harris; Harrison Ford; Sam Elliott; Stephen Graham
silence-of-the-lambs,Jame Gumb,Ted Levine,Barry Keoghan; Jack O'Connell; Jacob Elordi; Jesse Plemons; Shia LaBeouf; Nicolas Cage; Jake Gyllenhaal; Walton Goggins
silence-of-the-lambs,Dr. Frederick Chilton,Anthony Heald,Simon Baker; Aidan Gillen; Jude Law; Andrew Garfield; Jeffrey Dean Morgan; Josh Brolin; James Marsden; Theo James
silence-of-the-lambs,Catherine Martin,Brooke Smith,Elle Fanning; Madelyn Cline; Ester Expósito; Jenna Ortega; Emma Myers; Dafne Keen; Isabel May; Ivanna Sakhno
silence-of-the-lambs,Senator Ruth Martin,Diane Baker,Julianne Moore; Michelle Pfeiffer; Frances McDormand; Amy Madigan; Meryl Streep; Jennifer Connelly; Kate Winslet; Diane Lane
no-country-for-old-men,Anton Chigurh,Javier Bardem,Javier Bardem; Tom Hardy; Mads Mikkelsen; Ralph Fiennes; Cillian Murphy; Jon Bernthal; Jack O'Connell; Pedro Pascal
no-country-for-old-men,Ed Tom Bell,Tommy Lee Jones,Sam Elliott; Ed Harris; Kurt Russell; Harrison Ford; Clint Eastwood; Kevin Bacon; Liam Neeson; Mel Gibson
no-country-for-old-men,Llewelyn Moss,Josh Brolin,Josh Brolin; Jake Gyllenhaal; Ryan Gosling; Andrew Garfield; Jesse Plemons; Shia LaBeouf; Matthew McConaughey; Theo James
no-country-for-old-men,Carson Wells,Woody Harrelson,Woody Harrelson; George Clooney; Simon Baker; Jude Law; Matthew McConaughey; Walton Goggins; Jeffrey Dean Morgan; Ben Affleck
no-country-for-old-men,Carla Jean Moss,Kelly Macdonald,Rosamund Pike; Jennifer Connelly; Margot Robbie; Keira Knightley; Margaret Qualley; Anya Taylor-Joy; Samara Weaving; Rachel McAdams
no-country-for-old-men,Wendell,Garret Dillahunt,Walton Goggins; Mark Strong; Scott Adkins; Barry Keoghan; Jack O'Connell; Jesse Plemons; Nicholas Hoult; Stephen Graham
no-country-for-old-men,Loretta Bell,Tess Harper,Amy Madigan; Michelle Pfeiffer; Jamie Lee Curtis; Lena Headey; Jennifer Jason Leigh; Frances McDormand; Julianne Moore; Jacqueline Bisset
there-will-be-blood,Daniel Plainview,Daniel Day-Lewis,Leonardo DiCaprio; Jake Gyllenhaal; Tom Hardy; Matthew McConaughey; Javier Bardem; Edward Norton; Jon Bernthal; Jack O'Connell
there-will-be-blood,Paul Sunday / Eli Sunday,Paul Dano,Jacob Elordi; Finn Wolfhard; Tom Holland; Noah Fearnley; Zhang Linghe; Chen Zheyuan; Hudson Williams
there-will-be-blood,Henry,Kevin J. O'Connor,Walton Goggins; Clint Eastwood; Sam Elliott; Liam Neeson; Ed Harris; Kevin Bacon; Mark Strong; Stephen Graham
there-will-be-blood,Fletcher Hamilton,Ciarán Hinds,Lance Reddick; Denzel Washington; Woody Harrelson; Mads Mikkelsen; Ralph Fiennes; Pedro Pascal; Aidan Gillen
there-will-be-blood,H.W. Plainview,Dillon Freasier,Mckenna Grace; Bodhi Rae Breathnach; Hudson Williams; Paisley Cadorath; Wanpichit Nimitparkpoom; Suppakarn Jirachotikul; Lin Muran
there-will-be-blood,Elizabeth,Hope Elizabeth Reeves,Rebecca Ferguson; Charlize Theron; Nicole Kidman; Rachel McAdams; Annabelle Wallis; Samara Weaving; Emilia Clarke; Rosamund Pike
there-will-be-blood,Mary Sunday,Colleen Foy,Amy Madigan; Jamie Lee Curtis; Michelle Pfeiffer; Jennifer Jason Leigh; Jacqueline Bisset; Amanda Peet; Melanie Griffith; Lena Headey
fargo,Marge Gunderson,Frances McDormand,Frances McDormand; Amy Adams; Amy Madigan; Rebecca Ferguson; Rachel McAdams; Julianne Moore; Emma Thompson; Diane Lane
fargo,Jerry Lundegaard,William H. Macy,Jesse Plemons; Jake Gyllenhaal; Edward Norton; Jack O'Connell; Tom Hardy; Andrew Garfield; Simon Baker; Jon Bernthal
fargo,Carl Showalter,Steve Buscemi,Shia LaBeouf; Barry Keoghan; Walton Goggins; Nicholas Hoult; Elijah Wood; Jack Black; Adrien Brody; Hayden Christensen
fargo,Gaear Grimsrud,Peter Stormare,Tom Hardy; Joel Edgerton; Mark Strong; Mads Mikkelsen; Benedict Cumberbatch; Javier Bardem; Udo Kier; Willem Dafoe
fargo,Wade Gustafson,Harve Presnell,Kurt Russell; Sam Elliott; Clint Eastwood; Ed Harris; Kevin Bacon; Bruce Willis; Harrison Ford; Morgan Freeman
fargo,Norm Gunderson,John Carroll Lynch,Kevin Bacon; John Travolta; Jim Carrey; Adam Sandler; Woody Harrelson; Matthew McConaughey; George Clooney; Eddie Murphy
fargo,Jean Lundegaard,Kristin Rudrüd,Emma Stone; Jennifer Connelly; Rachel McAdams; Rebecca Ferguson; Amanda Seyfried; Samara Weaving; Margaret Qualley; Eva Green
jaws,Brody,Roy Scheider,Tom Hanks; Jake Gyllenhaal; Matt Damon; Edward Norton; Jon Bernthal; Andrew Garfield; Jesse Plemons; Jack O'Connell
jaws,Quint,Robert Shaw,Tom Hardy; Liam Neeson; Kurt Russell; Sam Elliott; Kevin Bacon; Ed Harris; Jude Law; Ralph Fiennes
jaws,Hooper,Richard Dreyfuss,Ryan Gosling; Pedro Pascal; Cillian Murphy; Barry Keoghan; Joseph Gordon-Levitt
jaws,Ellen Brody,Lorraine Gary,Rebecca Ferguson; Rachel McAdams; Charlize Theron; Jennifer Connelly; Rosamund Pike; Rachel Weisz; Kate Winslet; Nicole Kidman
jaws,Vaughn,Murray Hamilton,Jim Carrey; George Clooney; John Travolta; Tom Cruise; Richard Gere; Harrison Ford; Woody Harrelson; Matthew McConaughey
jaws,Hendricks,Jeffrey Kramer,Tom Holland; Shia LaBeouf; Jacob Elordi; Ansel Elgort
jaws,Chrissie,Susan Backlinie,Sydney Sweeney; Madelyn Cline; Jenna Ortega; Elle Fanning; Sadie Sink; Anya Taylor-Joy; Zendaya; Hailee Steinfeld
the-shining,Jack Torrance,Jack Nicholson,Jake Gyllenhaal; Michael Shannon; Jon Bernthal; Edward Norton; Joaquin Phoenix; Matthew McConaughey
the-shining,Wendy Torrance,Shelley Duvall,Rebecca Ferguson; Nicole Kidman; Kate Winslet; Rachel Weisz; Jennifer Connelly; Toni Collette; Cate Blanchett; Rosamund Pike
the-shining,Danny,Danny Lloyd,Jacob Tremblay; Noah Schnapp; Jaeden Martell; Mckenna Grace; Elle Fanning
the-shining,Hallorann,Scatman Crothers,Denzel Washington; Morgan Freeman; Idris Elba; Liam Neeson; Terry Crews; David Oyelowo
the-shining,Ullman,Barry Nelson,Tom Hanks; Jude Law; Simon Baker; Geoffrey Rush; Ralph Fiennes
the-shining,Grady,Philip Stone,Ed Harris; Mark Strong; Stephen Graham; Michael Shannon; David Dastmalchian; Brian Cox; Walton Goggins; Aidan Gillen
the-shining,Lloyd,Joe Turkel,Joe Keery; Tobey Maguire; Jack O'Connell; Andrew Garfield; Hayden Christensen; Jesse Plemons; Jack Huston; Nicholas Hoult
se7en,Somerset,Morgan Freeman,Morgan Freeman; Denzel Washington; Liam Neeson; Tom Hanks; Ed Harris; Sam Elliott; Harrison Ford
se7en,Mills,Brad Pitt,Jake Gyllenhaal; Andrew Garfield; Jack O'Connell; Jesse Plemons; Jon Bernthal; Barry Keoghan; Jacob Elordi; Joseph Gordon-Levitt
se7en,Tracy,Gwyneth Paltrow,Ana de Armas; Rebecca Ferguson; Anya Taylor-Joy; Rosamund Pike; Rachel McAdams; Margot Robbie; Emilia Clarke; Jessica Chastain
se7en,Officer Davis,John Cassini,Jon Bernthal; Walton Goggins; Aidan Gillen; Mark Strong; Stephen Graham; Yahya Abdul-Mateen II
se7en,Dr. O'Neill,Peter Crombie,Peter Sarsgaard; Michael Shannon; Brian Cox; David Morse; Lance Reddick; John Turturro
se7en,Dr. Santiago,Reg E. Cathey,Michael Peña; John Leguizamo; Benicio Del Toro; Diego Luna; Gael García Bernal; Pedro Pascal
se7en,Police Captain,R. Lee Ermey,Kurt Russell; Clint Eastwood; Mel Gibson; Arnold Schwarzenegger; Al Pacino; Bruce Willis; Sylvester Stallone; Jack Nicholson
heat,Lt. Vincent Hanna,Al Pacino,Denzel Washington; Pedro Pascal; Idris Elba; Jude Law; Jon Bernthal; Mark Strong; Benedict Cumberbatch; Ed Harris
